iter	Passed	Remaining
408	5361	3814
409	5374	3801
410	5387	3788
411	5400	3775
412	5414	3762
413	5427	3749
414	5439	3735
415	5453	3723
416	5467	3710
417	5479	3696
418	5493	3684
419	5506	3671
420	5520	3658
421	5534	3645
422	5547	3632
423	5560	3619
424	5573	3606
425	5586	3593
426	5600	3580
427	5614	3568
428	5627	3554
429	5640	3541
430	5653	3528
431	5666	3515
432	5678	3501
433	5692	3488
434	5705	3475
435	5718	3462
436	5733	3450
437	5745	3436
438	5758	3423
439	5772	3410
440	5785	3397
441	5798	3384
442	5811	3371
443	5824	3358
444	5838	3345
445	5851	3332
446	5864	3319
447	5877	3306
448	5890	3292
449	5903	3279
450	5917	3266
451	5930	3253
452	5943	3240
453	5957	3228
454	5970	3215
455	5985	3202
456	5997	3189
457	6011	3176
458	6025	3163
459	6039	3151
460	6054	3138
461	6067	3125
462	6081	3112
463	6094	3099
464	6108	3086
465	6121	3073
466	6134	3060
467	6147	3047
468	6160	3034
469	6174	3021
470	6187	3008
471	6200	2995
472	6215	2982
473	6228	2969
474	6242	2956
475	6256	2944
476	6269	2931
477	6283	2918
478	6296	2905
479	6309	2891
480	6322	2878
481	6335	2865
482	6349	2852
483	6361	2839
484	6375	2826
485	6388	2812
486	6400	2799
487	6414	2786
488	6427	2773
489	6440	2760
490	6453	2747
491	6466	2733
492	6479	2720
493	6493	2707
494	6506	2694
495	6519	2681
496	6532	2668
497	6545	2655
498	6558	2641
499	6571	2628
500	6585	2615
501	6599	2602
502	6612	2589
503	6625	2576
504	6638	2563
505	6651	2550
506	6665	2537
507	6678	2523
508	6691	2510
509	6704	2497
510	6717	2484
511	6730	2471
512	6743	2458
513	6756	2444
514	6769	2431
515	6782	2418
516	6795	2405
517	6808	2392
518	6821	2379
519	6835	2366
520	6848	2352
521	6861	2339
522	6875	2326
523	6888	2313
524	6901	2300
525	6914	2287
526	6927	2274
527	6941	2261
528	6954	2248
529	6968	2235
530	6981	2221
531	6994	2208
532	7009	2196
533	7022	2182
534	7035	2169
535	7047	2156
536	7061	2143
537	7074	2130
538	7088	2117
